lga_name,lga_code,sickness_allowance
"Albury (C)","10050",75
"Armidale Dumaresq (A)","10110",16
"Ashfield (A)","10150",23
"Auburn (C)","10200",50
"Ballina (A)","10250",60
"Balranald (A)","10300",0
"Bankstown (C)","10350",127
"Bathurst Regional (A)","10470",74
"Bega Valley (A)","10550",53
"Bellingen (A)","10600",18
"Berrigan (A)","10650",12
"Blacktown (C)","10750",361
"Bland (A)","10800",3
"Blayney (A)","10850",22
"Blue Mountains (C)","10900",96
"Bogan (A)","10950",9
"Bombala (A)","11000",0
"Boorowa (A)","11050",9
"Botany Bay (C)","11100",23
"Bourke (A)","11150",3
"Brewarrina (A)","11200",3
"Broken Hill (C)","11250",25
"Deniliquin (A)","12500",12
"Dubbo (C)","12600",47
"Dungog (A)","12700",9
"Eurobodalla (A)","12750",56
"Fairfield (C)","12850",139
"Forbes (A)","12900",15
"Gilgandra (A)","12950",12
"Glen Innes Severn (A)","13010",6
"Gloucester (A)","13050",12
"Gosford (C)","13100",237
"Goulburn Mulwaree (A)","13310",46
"Great Lakes (A)","13320",35
"Greater Hume Shire (A)","13340",18
"Greater Taree (C)","13380",70
"Griffith (C)","13450",44
"Gundagai (A)","13500",14
"Gunnedah (A)","13550",8
"Guyra (A)","13650",11
"Gwydir (A)","13660",14
"Burwood (A)","11300",12
"Byron (A)","11350",70
"Cabonne (A)","11400",16
"Camden (A)","11450",54
"Campbelltown (C)","11500",236
"Canada Bay (A)","11520",17
"Canterbury (C)","11550",121
"Carrathool (A)","11600",0
"Central Darling (A)","11700",6
"Cessnock (C)","11720",79
"Clarence Valley (A)","11730",72
"Cobar (A)","11750",12
"Coffs Harbour (C)","11800",134
"Conargo (A)","11860",3
"Coolamon (A)","12000",12
"Cooma-Monaro (A)","12050",14
"Coonamble (A)","12150",12
"Cootamundra (A)","12200",12
"Corowa Shire (A)","12300",12
"Cowra (A)","12350",14
"Harden (A)","13700",12
"Hawkesbury (C)","13800",108
"Hay (A)","13850",3
"Holroyd (C)","13950",87
"Hornsby (A)","14000",67
"Hunters Hill (A)","14100",6
"Hurstville (C)","14150",68
"Inverell (A)","14200",23
"Jerilderie (A)","14250",3
"Junee (A)","14300",3
"Kempsey (A)","14350",60
"Kiama (A)","14400",14
"Kogarah (C)","14450",31
"Ku-ring-gai (A)","14500",12
"Kyogle (A)","14550",21
"Lachlan (A)","14600",9
"Lake Macquarie (C)","14650",226
"Lane Cove (A)","14700",18
"Leeton (A)","14750",12
"Leichhardt (A)","14800",34
"Lismore (C)","14850",57
"Lithgow (C)","14870",35
"Liverpool (C)","14900",169
"Liverpool Plains (A)","14920",9
"Lockhart (A)","14950",12
"Maitland (C)","15050",77
"Manly (A)","15150",17
"Marrickville (A)","15200",74
"Mid-Western Regional (A)","15270",21
"Moree Plains (A)","15300",12
"Mosman (A)","15350",12
"Murray (A)","15500",12
"Murrumbidgee (A)","15550",6
"Muswellbrook (A)","15650",31
"Nambucca (A)","15700",18
"Narrabri (A)","15750",12
"Narrandera (A)","15800",12
"Narromine (A)","15850",9
"Newcastle (C)","15900",153
"North Sydney (A)","15950",12
"Oberon (A)","16100",9
"Orange (C)","16150",30
"Palerang (A)","16180",27
"Parkes (A)","16200",23
"Parramatta (C)","16250",133
"Penrith (C)","16350",205
"Pittwater (A)","16370",23
"Port Macquarie-Hastings (A)","16380",95
"Port Stephens (A)","16400",106
"Queanbeyan (C)","16470",54
"Randwick (C)","16550",63
"Richmond Valley (A)","16610",20
"Rockdale (C)","16650",80
"Ryde (C)","16700",38
"Shellharbour (C)","16900",102
"Shoalhaven (C)","16950",148
